accelerometer-icm20690,invensense,2020-02-15_19-30-56.600_865914035260724
timestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2]
1279034942,3,1.9632454,2.2697031,9.356541
1279034944,3,1.9632454,2.2601264,9.375694
1279034946,3,1.9632454,2.2601264,9.394848
1279034948,3,1.9536686,2.2601264,9.394848
1279034950,3,1.934515,2.2601264,9.394848
1279034952,3,1.9153614,2.2601264,9.375694
1279034954,3,1.9057846,2.2601264,9.3661175
1279034956,3,1.8866309,2.2409728,9.356541
1279034958,3,1.8579005,2.2122424,9.385271
1279034960,3,1.8483237,2.2026656,9.394848
1279034962,3,1.8483237,2.2026656,9.394848
1279034964,3,1.8674773,2.2026656,9.394848
1279034966,3,1.8674773,2.2026656,9.394848
1279034968,3,1.8866309,2.2026656,9.394848
1279034970,3,1.8962077,2.1930888,9.394848
1279034972,3,1.9057846,2.1930888,9.394848
1279034974,3,1.9249382,2.1930888,9.394848
1279034976,3,1.9440918,2.1930888,9.394848
1279034978,3,1.9440918,2.1930888,9.375694
1279034980,3,1.9632454,2.1930888,9.375694
1279034982,3,1.982399,2.2122424,9.356541
1279034984,3,2.0015526,2.231396,9.356541
1279034986,3,1.9919758,2.2505496,9.356541
1279034988,3,2.0015526,2.2697031,9.375694
1279034990,3,2.0015526,2.2888567,9.394848
1279034992,3,1.982399,2.3080103,9.404425
1279034994,3,1.982399,2.3080103,9.404425
1279034996,3,1.9632454,2.3080103,9.404425
1279034998,3,1.934515,2.3175871,9.385271
1279035000,3,1.9153614,2.3175871,9.3661175
1279035002,3,1.8962077,2.3175871,9.337387
1279035004,3,1.8866309,2.3175871,9.308656
1279035006,3,1.8674773,2.3175871,9.289502
1279035008,3,1.8483237,2.3175871,9.289502
1279035010,3,1.8483237,2.3175871,9.308656
1279035012,3,1.8579005,2.3175871,9.32781
1279035014,3,1.8579005,2.336741,9.346964
1279035016,3,1.8770541,2.3558946,9.375694
1279035018,3,1.8962077,2.3750482,9.404425
1279035020,3,1.9153614,2.3942018,9.414001
1279035022,3,1.9249382,2.4037786,9.414001
1279035024,3,1.934515,2.4037786,9.414001
1279035026,3,1.9440918,2.4037786,9.404425
1279035028,3,1.9440918,2.3942018,9.385271
1279035030,3,1.9440918,2.3750482,9.3661175
1279035032,3,1.934515,2.3558946,9.346964
1279035034,3,1.9153614,2.336741,9.32781
1279035036,3,1.8962077,2.3175871,9.32781
1279035038,3,1.8866309,2.3080103,9.32781
1279035040,3,1.8674773,2.2888567,9.32781
1279035042,3,1.8483237,2.2697031,9.346964
1279035044,3,1.8483237,2.2505496,9.375694
1279035046,3,1.8483237,2.2505496,9.414001
1279035048,3,1.8387469,2.2505496,9.461885
1279035050,3,1.8387469,2.2505496,9.519346
1279035052,3,1.8387469,2.2601264,9.557653
1279035054,3,1.8387469,2.27928,9.576807
1279035056,3,1.8387469,2.2984335,9.586384
1279035058,3,1.8387469,2.3175871,9.56723
1279035060,3,1.8483237,2.3175871,9.5385
1279035062,3,1.8483237,2.336741,9.500193
1279035064,3,1.8579005,2.3558946,9.461885
1279035066,3,1.8579005,2.3750482,9.423578
1279035068,3,1.8579005,2.3942018,9.404425
1279035070,3,1.8579005,2.4133554,9.394848
1279035072,3,1.8579005,2.432509,9.394848
1279035074,3,1.8674773,2.432509,9.394848
1279035076,3,1.8674773,2.4516625,9.394848
1279035078,3,1.8674773,2.4420857,9.394848
1279035080,3,1.8674773,2.432509,9.385271
1279035082,3,1.8674773,2.4229321,9.3661175
1279035084,3,1.8770541,2.4037786,9.346964
1279035086,3,1.8962077,2.4037786,9.32781
1279035088,3,1.8962077,2.384625,9.3182335
1279035090,3,1.8962077,2.3654714,9.3182335
1279035092,3,1.8962077,2.3463178,9.337387
1279035094,3,1.8962077,2.327164,9.356541
1279035096,3,1.8962077,2.327164,9.375694
1279035098,3,1.8962077,2.3175871,9.394848
1279035100,3,1.8962077,2.3080103,9.394848
1279035102,3,1.8962077,2.3080103,9.394848
1279035104,3,1.8962077,2.3080103,9.394848
1279035106,3,1.8866309,2.3080103,9.394848
1279035108,3,1.8770541,2.3080103,9.394848
1279035110,3,1.8770541,2.3080103,9.375694
1279035112,3,1.8579005,2.327164,9.3661175
1279035114,3,1.8579005,2.3463178,9.375694
1279035116,3,1.8579005,2.3463178,9.375694
1279035118,3,1.8674773,2.3654714,9.375694
1279035120,3,1.8674773,2.3654714,9.375694
1279035122,3,1.8866309,2.384625,9.375694
1279035124,3,1.8866309,2.3942018,9.375694
1279035126,3,1.8962077,2.4037786,9.375694
1279035128,3,1.9057846,2.4133554,9.375694
1279035130,3,1.9057846,2.4229321,9.375694
1279035132,3,1.9057846,2.4229321,9.394848
1279035134,3,1.9057846,2.4229321,9.414001
1279035136,3,1.8962077,2.4229321,9.423578
1279035138,3,1.8962077,2.4229321,9.433155
1279035140,3,1.8866309,2.432509,9.442732
1279035142,3,1.8866309,2.432509,9.442732
1279035144,3,1.8674773,2.432509,9.442732
1279035146,3,1.8387469,2.432509,9.442732
1279035148,3,1.8195933,2.432509,9.442732
1279035150,3,1.8100165,2.432509,9.452309
1279035152,3,1.7908629,2.4420857,9.471462
1279035154,3,1.7908629,2.4516625,9.481039
1279035156,3,1.7908629,2.4420857,9.481039
1279035158,3,1.7908629,2.4420857,9.481039
1279035160,3,1.7908629,2.4420857,9.461885
1279035162,3,1.7908629,2.4420857,9.442732
1279035164,3,1.8004397,2.4420857,9.423578
1279035166,3,1.8195933,2.4516625,9.404425
1279035168,3,1.8387469,2.4516625,9.385271
1279035170,3,1.8579005,2.4420857,9.3661175
1279035172,3,1.8770541,2.432509,9.356541
1279035174,3,1.8866309,2.432509,9.356541
1279035176,3,1.8962077,2.4229321,9.356541
1279035178,3,1.8962077,2.4229321,9.356541
1279035180,3,1.8962077,2.4133554,9.3661175
1279035182,3,1.8962077,2.3942018,9.3661175
1279035184,3,1.8770541,2.3942018,9.356541
1279035186,3,1.8579005,2.3942018,9.356541
1279035188,3,1.8579005,2.384625,9.346964
1279035190,3,1.8387469,2.3750482,9.346964
1279035192,3,1.8195933,2.3654714,9.346964
1279035194,3,1.8100165,2.3654714,9.346964
1279035196,3,1.7908629,2.3654714,9.346964
1279035198,3,1.7812861,2.3654714,9.346964
1279035200,3,1.7717092,2.384625,9.356541
1279035202,3,1.7812861,2.3942018,9.3661175
1279035204,3,1.7812861,2.3942018,9.3661175
1279035206,3,1.7812861,2.3942018,9.3661175
1279035208,3,1.7812861,2.3942018,9.385271
1279035210,3,1.7812861,2.3942018,9.394848
1279035212,3,1.7908629,2.3942018,9.394848
1279035214,3,1.7908629,2.4037786,9.394848
1279035216,3,1.8100165,2.4037786,9.414001
1279035218,3,1.8195933,2.384625,9.423578
1279035220,3,1.8387469,2.3750482,9.433155
1279035222,3,1.8387469,2.3654714,9.442732
1279035224,3,1.8387469,2.3654714,9.461885
1279035226,3,1.8387469,2.3750482,9.461885
1279035228,3,1.8387469,2.3942018,9.471462
1279035230,3,1.8291701,2.4037786,9.471462
1279035232,3,1.8195933,2.4037786,9.471462
1279035234,3,1.8004397,2.4037786,9.452309
1279035236,3,1.7812861,2.4133554,9.433155
1279035238,3,1.7525556,2.4133554,9.394848
1279035240,3,1.7429788,2.4133554,9.375694
1279035242,3,1.7429788,2.4133554,9.3661175
1279035244,3,1.7238252,2.4133554,9.346964
1279035246,3,1.7046716,2.4037786,9.32781
1279035248,3,1.6950948,2.3942018,9.308656
1279035250,3,1.685518,2.3750482,9.289502
1279035252,3,1.685518,2.3654714,9.289502
1279035254,3,1.6950948,2.3463178,9.308656
1279035256,3,1.7142484,2.336741,9.32781
1279035258,3,1.733402,2.336741,9.3661175
1279035260,3,1.7621324,2.327164,9.394848
1279035262,3,1.7717092,2.327164,9.414001
1279035264,3,1.8100165,2.327164,9.452309
1279035266,3,1.8291701,2.327164,9.481039
