gyroscope-icm20690,invensense,2020-02-15_19-30-56.600_865914035260724
timestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
1279035037,3,-0.0074176495,0.012269665,0.029565878
1279035039,3,-0.009546951,0.016528267,0.029565878
1279035041,3,-0.0063529983,0.021851523,0.030630529
1279035043,3,-0.0052883476,0.027174776,0.03169518
1279035045,3,-0.003159046,0.029304078,0.03169518
1279035047,3,0.0021467549,0.026110126,0.030630529
1279035049,3,0.004276057,0.022916174,0.03169518
1279035051,3,0.00853466,0.017592918,0.03382448
1279035053,3,0.013857914,0.012269665,0.03382448
1279035055,3,0.013857914,0.010140363,0.03488913
1279035057,3,0.021310471,0.003752458,0.038083084
1279035059,3,0.021310471,0.0058817593,0.039147735
1279035061,3,0.019181168,0.009075712,0.039147735
1279035063,3,0.017051866,0.013334315,0.040212385
1279035065,3,0.015987216,0.01972222,0.043406337
1279035067,3,0.010663962,0.021851523,0.04553564
1279035069,3,0.0053407075,0.023980824,0.04660029
1279035071,3,0.0010821042,0.025045475,0.04660029
1279035073,3,-0.004223697,0.022916174,0.04553564
1279035075,3,-0.0074176495,0.018657569,0.04766494
1279035077,3,-0.013805554,0.010140363,0.04660029
1279035079,3,-0.019128809,0.0048171086,0.04766494
1279035081,3,-0.02232276,-0.001553343,0.04766494
1279035083,3,-0.027646014,-0.001553343,0.04766494
1279035085,3,-0.028710665,0.0016231562,0.04660029
1279035087,3,-0.03296927,0.003752458,0.04553564
1279035089,3,-0.03403392,0.008011062,0.04660029
1279035091,3,-0.03403392,0.009075712,0.04766494
1279035093,3,-0.030839968,0.010140363,0.04766494
1279035095,3,-0.028710665,0.010140363,0.04660029
1279035097,3,-0.023387412,0.009075712,0.04553564
1279035099,3,-0.013805554,0.0069464105,0.04447099
1279035101,3,-0.009546951,0.0069464105,0.04766494
1279035103,3,-0.004223697,0.008011062,0.04553564
1279035105,3,0.0021467549,0.008011062,0.04553564
1279035107,3,0.0074700094,0.010140363,0.04553564
1279035109,3,0.013857914,0.013334315,0.04447099
1279035111,3,0.025569074,0.01972222,0.043406337
1279035113,3,0.025569074,0.01972222,0.043406337
1279035115,3,0.025569074,0.01972222,0.043406337
1279035117,3,0.029827677,0.018657569,0.041277036
1279035119,3,0.029827677,0.018657569,0.038083084
1279035121,3,0.029827677,0.018657569,0.038083084
1279035123,3,0.030892327,0.016528267,0.040212385
1279035125,3,0.026633725,0.01972222,0.039147735
1279035127,3,0.025569074,0.023980824,0.038083084
1279035129,3,0.023439772,0.026110126,0.037018433
